chrom	start	stop	gene_id	gene_name
1	6247353	6261098	ENSG00000158292.7	GPR153
1	6264269	6393767	ENSG00000097021.20	ACOT7
1	6393555	6394391	ENSG00000271746.1	AL031848.2
1	6412418	6424670	ENSG00000069812.11	HES2
1	6424776	6461367	ENSG00000187017.17	ESPN
1	6429834	6429896	ENSG00000265392.1	MIR4252
1	6443034	6447006	ENSG00000231868.1	AL031848.1
1	6460786	6466175	ENSG00000215788.11	TNFRSF25
1	6467122	6520074	ENSG00000171680.23	PLEKHG5
1	6521347	6554513	ENSG00000162408.11	NOL9
1	6540854	6540964	ENSG00000253022.1	RNU6-731P
1	6547905	6548619	ENSG00000229519.2	AL591866.1
1	6555307	6579755	ENSG00000173662.21	TAS1R1
1	6579994	6589280	ENSG00000204859.13	ZBTB48
1	6590724	6614607	ENSG00000162413.16	KLHL21
1	6613731	6624030	ENSG00000116273.6	PHF13
1	6624866	6635586	ENSG00000041988.15	THAP3
1	6634168	6701924	ENSG00000007923.16	DNAJC11
1	6724637	6730012	ENSG00000228750.7	LINC01672
1	6767954	6770038	ENSG00000284744.1	AL591163.1
1	6783892	6784843	ENSG00000237436.1	CAMTA1-DT
1	6785454	7769706	ENSG00000171735.19	CAMTA1
1	6834333	6834618	ENSG00000227950.1	AL590128.1
1	7008376	7014279	ENSG00000237365.1	AL512330.1
1	7219360	7219524	ENSG00000207056.1	RNU1-8P
1	7368942	7370270	ENSG00000237402.1	CAMTA1-IT1
1	7382487	7389754	ENSG00000237728.2	CAMTA1-AS2
1	7441096	7441554	ENSG00000225126.1	CAMTA1-AS1
1	7693124	7694844	ENSG00000270171.1	AL359881.3
1	7698303	7698872	ENSG00000270035.1	AL359881.2
1	7700704	7700970	ENSG00000269978.1	AL359881.1
1	7771296	7781432	ENSG00000049245.13	VAMP3
1	7776383	7776775	ENSG00000269925.1	Z98884.2
1	7784320	7845177	ENSG00000049246.14	PER3
1	7810242	7827342	ENSG00000236266.1	Z98884.1
1	7843083	7853512	ENSG00000049247.14	UTS2
1	7915871	7943165	ENSG00000049249.9	TNFRSF9
1	7942372	7942726	ENSG00000270330.1	AL009183.1
1	7954291	7985505	ENSG00000116288.13	PARK7
1	7982881	7982983	ENSG00000200344.1	Y_RNA
1	7991134	8005312	ENSG00000284747.1	AL034417.4
1	7998187	7999934	ENSG00000284716.1	AL034417.3
1	8004404	8026309	ENSG00000116285.13	ERRFI1
1	8026738	8122702	ENSG00000238290.1	AL034417.2
1	8057245	8058463	ENSG00000232848.1	AL034417.1
1	8189824	8192770	ENSG00000229305.1	AL358876.1
1	8201518	8215210	ENSG00000227634.3	LINC01714
1	8206434	8206597	ENSG00000200975.1	RNU1-7P
1	8218190	8220529	ENSG00000233645.1	AL358876.2
1	8292157	8292263	ENSG00000251977.1	RNU6-991P
1	8318114	8344167	ENSG00000162426.16	SLC45A1
1	8328067	8328179	ENSG00000252254.1	Y_RNA
1	8352397	8848921	ENSG00000142599.19	RERE
1	8424645	8435013	ENSG00000232912.6	RERE-AS1
1	8511795	8511919	ENSG00000221083.1	AL096855.1
1	8512653	8513021	ENSG00000270282.1	AL096855.2
1	8750430	8751087	ENSG00000234619.1	RPL7P11
1	8786211	8786913	ENSG00000224315.2	RPL7P7
1	8796571	8796673	ENSG00000222511.2	Y_RNA
1	8798475	8799506	ENSG00000226545.1	AL357552.1
1	8805860	8807051	ENSG00000228423.2	AL357552.2
1	8831007	8831375	ENSG00000229716.2	RPL23AP19
1	8861000	8879190	ENSG00000074800.16	ENO1
1	8866502	8866590	ENSG00000274258.1	MIR6728
1	8878835	8879894	ENSG00000230679.1	ENO1-AS1
1	8883427	8883533	ENSG00000201725.1	RNU6-304P
1	8893409	8894151	ENSG00000238249.2	HMGN2P17
1	8907393	8907744	ENSG00000232208.2	AL139415.1
1	8909742	8909904	ENSG00000232663.2	AL139415.2
1	8945867	8975092	ENSG00000131686.15	CA6
1	8979576	8979874	ENSG00000265141.2	RN7SL451P
1	9003300	9026345	ENSG00000197241.3	SLC2A7
1	9035106	9088478	ENSG00000142583.18	SLC2A5
1	9082696	9082879	ENSG00000252404.1	AL158048.1
1	9100305	9129102	ENSG00000180758.12	GPR157
1	9148011	9198906	ENSG00000228526.7	MIR34AHG
1	9151668	9151777	ENSG00000284357.1	MIR34A
1	9182004	9196284	ENSG00000234546.4	LNCTAM34A
1	9234774	9271337	ENSG00000049239.13	H6PD
1	9292894	9369532	ENSG00000171621.14	SPSB1
1	9421098	9422862	ENSG00000284652.1	BX323043.1
1	9425094	9440564	ENSG00000284693.1	LINC02606
1	9437669	9437778	ENSG00000252956.1	RNA5SP40
1	9501092	9503471	ENSG00000235263.1	AL928921.1
1	9539465	9585173	ENSG00000171612.7	SLC25A33
1	9576427	9576985	ENSG00000231181.1	AL954705.1
1	9588911	9614877	ENSG00000188807.13	TMEM201
1	9651731	9729114	ENSG00000171608.16	PIK3CD
1	9652610	9654586	ENSG00000179840.5	PIK3CD-AS1
1	9660828	9662626	ENSG00000233268.3	AL691449.1
1	9672426	9687555	ENSG00000231789.2	PIK3CD-AS2
1	9728926	9823984	ENSG00000171603.18	CLSTN1
1	9780822	9781240	ENSG00000271264.1	MZT1P1
1	9826289	9828271	ENSG00000280113.2	AL357140.3
1	9848276	9910336	ENSG00000178585.15	CTNNBIP1
1	9848318	9850154	ENSG00000223989.1	AL357140.1
1	9900614	9908034	ENSG00000285701.1	AL357140.4
1	9922113	9943407	ENSG00000162441.12	LZIC
1	9942923	9949974	ENSG00000228150.1	AL357140.2
1	9943428	9985501	ENSG00000173614.14	NMNAT1
1	9947318	9947636	ENSG00000202415.1	RN7SKP269
1	9950572	9960787	ENSG00000283611.2	TMEM274P
1	9967381	9967458	ENSG00000265521.1	MIR5697
1	9983141	9984568	ENSG00000241326.1	AL603962.1
1	9997206	10016021	ENSG00000162444.12	RBP7
1	10032832	10181239	ENSG00000130939.20	UBE4B
1	10054445	10054781	ENSG00000224340.1	AL590639.1
1	10058671	10059648	ENSG00000233623.2	PGAM1P11
1	10163268	10163374	ENSG00000201746.1	RNU6-828P
1	10210570	10381603	ENSG00000054523.18	KIF1B
1	10227718	10227803	ENSG00000264881.1	AL358013.1
1	10298966	10299072	ENSG00000199562.1	RNU6-37P
1	10306465	10306757	ENSG00000264501.2	RN7SL731P
1	10381906	10387150	ENSG00000284735.1	AL139424.3
1	10395416	10397432	ENSG00000284642.1	AL139424.2
1	10398592	10420511	ENSG00000142657.21	PGD
1	10429881	10430677	ENSG00000271989.1	AL139424.1
1	10430102	10452153	ENSG00000251503.8	CENPS-CORT
1	10430433	10442808	ENSG00000175279.22	CENPS
1	10450031	10451998	ENSG00000241563.4	CORT
1	10456522	10472529	ENSG00000160049.12	DFFA
1	10458555	10459338	ENSG00000203469.2	AL354956.1
1	10472288	10630758	ENSG00000142655.13	PEX14
1	10612222	10616452	ENSG00000287727.1	AL139423.2
1	10616836	10617115	ENSG00000243267.3	RN7SL614P
1	10636604	10796650	ENSG00000130940.15	CASZ1
1	10639241	10654333	ENSG00000272078.1	AL139423.1
1	10895761	10895998	ENSG00000225158.2	HSPE1P24
1	10946471	10982037	ENSG00000175262.14	C1orf127
1	10990978	10991797	ENSG00000215785.2	CFL1P6
1	11012344	11030528	ENSG00000120948.19	TARDBP
1	11026523	11047239	ENSG00000009724.17	MASP2
1	11054584	11060020	ENSG00000116649.10	SRM
1	11066618	11099869	ENSG00000171824.14	EXOSC10
1	11068471	11073097	ENSG00000226849.1	AL109811.1
1	11099675	11102100	ENSG00000230337.1	EXOSC10-AS1
1	11106535	11262551	ENSG00000198793.13	MTOR
1	11143898	11149537	ENSG00000225602.5	MTOR-AS1
1	11152350	11152452	ENSG00000253086.1	RNU6-537P
1	11189355	11195981	ENSG00000171819.5	ANGPTL7
1	11226254	11226360	ENSG00000207451.1	RNU6-291P
1	11232963	11233112	ENSG00000238173.1	RPL39P6
1	11273198	11296049	ENSG00000120942.14	UBIAD1
1	11278616	11279351	ENSG00000238199.1	UBE2V2P3
1	11311734	11319093	ENSG00000284646.1	AL031291.1
1	11425257	11425821	ENSG00000224338.2	MTCYBP45
1	11479155	11537551	ENSG00000204624.8	DISP3
1	11500803	11502016	ENSG00000285833.1	AL590989.1
1	11609468	11613358	ENSG00000235643.2	LINC01647
1	11623558	11643416	ENSG00000284708.1	AL031731.1
1	11637018	11655785	ENSG00000116661.11	FBXO2
1	11654375	11663327	ENSG00000132879.14	FBXO44
1	11664200	11674354	ENSG00000116663.11	FBXO6
1	11674480	11691650	ENSG00000116670.15	MAD2L2
1	11691710	11725857	ENSG00000162490.7	DRAXIN
1	11736084	11754802	ENSG00000177674.16	AGTRAP
1	11761787	11789585	ENSG00000215910.7	C1orf167
1	11777077	11779619	ENSG00000177553.6	C1orf167-AS1
1	11785723	11806455	ENSG00000177000.13	MTHFR
1	11806096	11848079	ENSG00000011021.23	CLCN6
1	11843812	11843984	ENSG00000276470.1	AL021155.2
1	11845549	11845697	ENSG00000278852.1	AL021155.3
1	11845709	11848345	ENSG00000175206.10	NPPA
1	11847442	11847549	ENSG00000275915.1	AL021155.1
1	11857464	11858945	ENSG00000120937.9	NPPB
1	11877770	11880406	ENSG00000224904.1	SBF1P2
1	11907940	11914298	ENSG00000285646.2	AL021155.4
1	11908152	11908271	ENSG00000199347.1	RNU5E-1
1	11909808	11909927	ENSG00000201801.1	RNU5E-4P
1	11919591	11926428	ENSG00000116685.16	KIAA2013
1	11934205	11975538	ENSG00000083444.17	PLOD1
1	11979533	11980127	ENSG00000287384.1	AL096840.2
1	11980181	12015211	ENSG00000116688.18	MFN2
1	12017216	12017308	ENSG00000270914.1	AL096840.1
1	12019466	12032045	ENSG00000116691.11	MIIP
1	12024012	12024124	ENSG00000202461.1	Y_RNA
1	12029158	12029222	ENSG00000276869.1	MIR6729
1	12036740	12037014	ENSG00000243539.3	RN7SL649P
1	12063303	12144207	ENSG00000120949.15	TNFRSF8
1	12077881	12077984	ENSG00000201135.1	RNU6-777P
1	12080293	12080547	ENSG00000227875.2	RPL23AP89
1	12088441	12092264	ENSG00000285604.1	AL357835.1
1	12166943	12167038	ENSG00000283789.1	MIR7846
1	12166991	12209228	ENSG00000028137.19	TNFRSF1B
1	12191713	12191773	ENSG00000263676.1	MIR4632
1	12220794	12221109	ENSG00000225196.2	RPL10P17
1	12221148	12221271	ENSG00000252969.1	SNORA70
1	12230030	12512047	ENSG00000048707.15	VPS13D
1	12507246	12507397	ENSG00000239149.1	SNORA59A
1	12527724	12528420	ENSG00000229484.1	LINC02766
1	12567910	12618210	ENSG00000162496.9	DHRS3
1	12569972	12570072	ENSG00000221340.1	RNU6ATAC18P
1	12578957	12579023	ENSG00000276830.1	MIR6730
1	12618900	12619244	ENSG00000272482.1	AC254633.1
1	12644085	12667076	ENSG00000204518.3	AADACL4
1	12692909	12693020	ENSG00000226166.2	AC244670.1
1	12716110	12728760	ENSG00000188984.12	AADACL3
1	12746200	12763699	ENSG00000157330.10	C1orf158
1	12773738	12777906	ENSG00000116726.5	PRAMEF12
1	12791397	12796628	ENSG00000116721.9	PRAMEF1
1	12822686	12823159	ENSG00000228338.1	LINC01784
1	12824605	12831410	ENSG00000239810.3	PRAMEF11
1	12838125	12841357	ENSG00000231103.2	PRAMEF30P
1	12847377	12848720	ENSG00000179172.10	HNRNPCL1
1	12857086	12861909	ENSG00000120952.4	PRAMEF2
1	12879212	12886201	ENSG00000243073.4	PRAMEF4
1	12892896	12898270	ENSG00000187545.5	PRAMEF10
1	12916610	12920482	ENSG00000204510.5	PRAMEF7
1	12922554	12922660	ENSG00000207434.1	RNU6-1072P
1	12926162	12928253	ENSG00000234064.1	PRAMEF29P
1	12938472	12947580	ENSG00000232423.6	PRAMEF6
1	13029339	13032130	ENSG00000274178.2	PRAMEF28P
1	13049476	13056575	ENSG00000274764.6	PRAMEF27
1	13060769	13062878	ENSG00000277058.3	HNRNPCL3
1	13068677	13077884	ENSG00000229571.7	PRAMEF25
1	13095179	13097971	ENSG00000277862.1	PRAMEF34P
1	13104403	13105689	ENSG00000236179.1	PRAMEF35P
1	13115488	13116854	ENSG00000275774.3	HNRNPCL2
1	13128818	13131615	ENSG00000229978.1	PRAMEF36P
1	13146981	13147460	ENSG00000233336.1	AC245056.1
1	13148905	13155961	ENSG00000280267.4	PRAMEF26
1	13163914	13165631	ENSG00000179412.11	HNRNPCL4
1	13171848	13179459	ENSG00000204505.5	PRAMEF9
1	13196188	13201409	ENSG00000279169.3	PRAMEF13
1	13222705	13226106	ENSG00000279804.2	PRAMEF18
1	13245863	13248652	ENSG00000250894.1	PRAMEF31P
1	13254212	13263314	ENSG00000270601.4	PRAMEF5
1	13273539	13275627	ENSG00000231219.1	PRAMEF32P
1	13279125	13279231	ENSG00000207511.1	RNU6-771P
1	13281035	13285174	ENSG00000182330.10	PRAMEF8
1	13303539	13308907	ENSG00000237700.2	PRAMEF33
1	13315581	13322598	ENSG00000204501.7	PRAMEF15
1	13324039	13324518	ENSG00000228229.2	AC243961.1
1	13341892	13347134	ENSG00000204481.8	PRAMEF14
1	13369067	13371900	ENSG00000204480.8	PRAMEF19
1	13389632	13392629	ENSG00000204479.4	PRAMEF17
1	13416351	13421328	ENSG00000204478.10	PRAMEF20
1	13474973	13514003	ENSG00000162494.6	LRRC38
1	13513220	13516270	ENSG00000259961.1	AL354712.1
1	13555001	13555694	ENSG00000215909.3	BRWD1P1
1	13583465	13617957	ENSG00000162493.17	PDPN
1	13623184	13623284	ENSG00000222952.1	RNA5SP41
1	13657311	13659910	ENSG00000237445.2	AL359771.1
1	13696070	13696199	ENSG00000253085.1	AL359771.2
1	13700198	13825079	ENSG00000116731.22	PRDM2
1	13892792	15118043	ENSG00000189337.17	KAZN
1	14124233	14124335	ENSG00000252151.1	RNU6-1265P
1	14221887	14304445	ENSG00000231606.2	AL357873.1
1	14338825	14419973	ENSG00000234593.3	KAZN-AS1
1	14692129	14692613	ENSG00000235829.1	TBCAP2
1	14774469	14777727	ENSG00000287756.1	AL031293.1
1	15111815	15153618	ENSG00000175147.13	TMEM51-AS1
1	15152532	15220478	ENSG00000171729.14	TMEM51
1	15164344	15171317	ENSG00000204464.7	C1orf195
1	15191828	15192845	ENSG00000215720.4	MFFP1
1	15226373	15227549	ENSG00000278480.1	ZBTB2P1
1	15247272	15400283	ENSG00000142621.19	FHAD1
1	15326680	15343876	ENSG00000233485.1	FHAD1-AS1
1	15334166	15335464	ENSG00000236045.1	AL031283.2
1	15402979	15409433	ENSG00000228140.2	AL031283.1
1	15409888	15430339	ENSG00000142634.13	EFHD2
1	15438442	15449242	ENSG00000162438.12	CTRC
